r,s1.0,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6
0.0,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.1,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.2,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.30000000000000004,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.4,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.5,78.20039015429754,49.48462268329421,30.30621688512711,17.949259667347437,10.261999149986059,5.646470434892737,2.976125227688008
0.6,64.94054924359271,41.854158750436206,26.107266204207438,15.748439541549633,9.170315506866979,5.139142718463194,2.7588376096148046
0.7,55.47010058090241,36.30943082697096,23.00276535563546,14.092693522288595,8.334481475895263,4.743761152633027,2.5864024409176753
0.7999999999999999,48.368017942494525,32.0893617791417,20.604590544660805,12.794409521803637,7.669148136832925,4.424188842048601,2.4448332543782136
0.8999999999999999,42.84484233880895,28.76468704415967,18.69049821228212,11.744524887117317,7.123946468702113,4.15877565033036,2.325623440917634
0.9999999999999999,38.426898397213606,26.074452986012258,17.123604981900307,10.87498195472819,6.667031540025277,3.9336537047848164,2.2232525448846223
1.0999999999999999,34.81275635416795,23.85066713662471,15.814766082177501,10.140943512278582,6.277179893237524,3.739473299124405,2.133955490617553
1.2,31.80146305130548,21.980168280643444,14.703307705377831,9.511574827430968,5.939644221902125,3.5696701316427837,2.0550613781456386
1.3,29.25389708717172,20.38387491939266,13.746428663070517,8.964918986627405,5.6438241867170555,3.4194813050487074,1.9846139952140278
1.4000000000000001,27.070686046789444,19.004812879743962,12.913026852812031,8.484883039377578,5.381883425718937,3.2853554452599645,1.9211421400769078
1.5000000000000002,25.178956839398985,17.80086883935957,12.17992986455899,8.059381694320177,5.1478902803389515,3.164582992146849,1.8635144124159742
1.6000000000000003,23.524054659546344,16.740224795754553,11.529501013628776,7.679148883796768,4.937263251946874,3.0550556861305145,1.8108439895899862
1.7000000000000004,22.064184667788364,15.798381895339235,10.94806714853039,7.336951475298589,4.746401378977952,2.9551050663807503,1.7624242102838592
1.8000000000000005,20.76683977782988,14.956162571403905,10.424855951521076,7.027054113139453,4.572430926575518,2.863391025073299,1.7176838163293344
1.9000000000000006,19.60635651088164,14.198334728788758,9.951259377885146,6.744845897517106,4.413027536765224,2.778823055161742,1.6761551203298801
2.0000000000000004,18.562204093711195,13.512642811753839,9.520311769930732,6.486574261765773,4.266288677331873,2.7005034274654687,1.6374508978909994
2.1000000000000005,17.61776238582295,12.889111737586706,9.126312791195113,6.249151594621077,4.130640425809711,2.627685425890856,1.6012473062032593
2.2000000000000006,16.759433099225753,12.319537917405746,8.764550210946064,6.030012299242218,4.004768192403528,2.5597421400838325,1.5672710513740762
2.3000000000000007,15.975982873914035,11.79711111511346,8.431092888605292,5.82700549981826,3.88756445203812,2.4961427990763987,1.5352896066246031
2.400000000000001,15.258050584478958,11.316129450418696,8.122633985424589,5.638313382015996,3.7780887690497487,2.4364345822781117,1.5051036575959056
2.500000000000001,14.597772893133524,10.871781787451644,7.836370687651136,5.462388256667005,3.675536843581015,2.38022846960141,1.4765411978426608
2.600000000000001,13.988496213578314,10.459979592311512,7.569910856152487,5.297903494649426,3.5792162723186864,2.327188111428695,1.4494528637198587
